address_id,name,food_types,schedule,restaurant_id
1,3750 18TH ST,Snow Cones: Soft Serve Ice Cream & Frozen Virgin Daiquiris,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00015&ExportPDF=1&Filename=21MFF-00015_schedule.pdf,1
2,2535 TAYLOR ST,Asian Fusion - Japanese Sandwiches/Sliders/Misubi,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00106&ExportPDF=1&Filename=21MFF-00106_schedule.pdf,2
3,Assessors Block 7283/Lot004,Coffee: Vegan Pastries: Vegan Hot Dogs: Vegan Tamales: Te: Vegan Shakes,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00105&ExportPDF=1&Filename=21MFF-00105_schedule.pdf,3
4,351 CALIFORNIA ST,Noodles: Meat & Drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00090&ExportPDF=1&Filename=21MFF-00090_schedule.pdf,4
5,101 CALIFORNIA ST,MOMO Spicy Noodle: POPO's Noodle: Spicy Chicken Noodle: Rice Noodles,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00089&ExportPDF=1&Filename=21MFF-00089_schedule.pdf,4
6,1 MONTGOMERY ST,Sandwich: Donuts: Coffee: Soft Serve Ice Cream: Drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00094&ExportPDF=1&Filename=21MFF-00094_schedule.pdf,5
7,667 MISSION ST,Noodles: Meat & Drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00090&ExportPDF=1&Filename=21MFF-00090_schedule.pdf,4
8,120 ELLIS ST,Prepackaged Kettlecorn,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00093&ExportPDF=1&Filename=21MFF-00093_schedule.pdf,5
9,1 BUSH ST,Noodles,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00088&ExportPDF=1&Filename=21MFF-00088_schedule.pdf,4
10,8 10TH ST,South American/Peruvian food,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0203&ExportPDF=1&Filename=17MFF-0203_schedule.pdf,6
11,2029 MARKET ST,Donuts: Soft Serve Ice Cream: Coffee: Sandwiches: Drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00092&ExportPDF=1&Filename=21MFF-00092_schedule.pdf,5
12,555 MISSION ST,Noodles,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00088&ExportPDF=1&Filename=21MFF-00088_schedule.pdf,4
13,201 02ND ST,Prepackaged Kettlecorn,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00091&ExportPDF=1&Filename=21MFF-00091_schedule.pdf,5
14,475 CALIFORNIA ST,Peruvian Food Served Hot,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00005&ExportPDF=1&Filename=22MFF-00005_schedule.pdf,7
15,100 SPEAR ST,Peruvian Food Served Hot,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00006&ExportPDF=1&Filename=22MFF-00006_schedule.pdf,7
16,556 SUTTER ST,Hot coffee: iced coffee: hot chocolate: tea: pastries,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00001&ExportPDF=1&Filename=22MFF-00001_schedule.pdf,8
17,490 02ND ST,Peruvian Food Served Hot,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00004&ExportPDF=1&Filename=22MFF-00004_schedule.pdf,7
18,1 MONTGOMERY ST,Tacos: burritos: quesadillas,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00003&ExportPDF=1&Filename=22MFF-00003_schedule.pdf,9
